fung,AI,isolate,code,DPI,rate_ppm,rep,length_mm,width_mm
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,0,1,84,84
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,0,2,84,84
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,0,3,84,84
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0,1,84,84
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0,2,84,84
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0,3,75.81,72.48
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,0.01,1,83.93,82.32
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,0.01,2,79.03,80.93
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,0.01,3,84,84
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0.01,1,80.43,74.07
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0.01,2,71.52,64.13
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0.01,3,80.52,79.49
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,0.1,1,67.49,72.97
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,0.1,2,76.78,75.03
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,0.1,3,73.91,72.24
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0.1,1,53.34,49.29
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0.1,2,55.95,56.2
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0.1,3,56.76,48.55
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,1,1,19.83,19.24
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,1,2,11.55,10.34
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,1,3,15.57,13.35
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,1,1,15.47,15.87
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,1,2,13.23,12.42
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,1,3,14.17,14.14
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,10,1,8.1,6.6
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,10,2,10.84,6.19
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,10,3,7.17,7.82
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,10,1,10.87,9.72
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,10,2,8.22,7.62
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,10,3,10.71,10.75
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,100,1,5.51,5.8
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,100,2,6.27,5.62
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,100,3,5.67,5.87
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,100,1,5,5
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,100,2,6.86,5.84
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,100,3,5.41,5.91
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,500,1,5,5
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,500,2,5,5
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,500,3,5,5
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,500,1,10.47,6.89
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,500,2,8.3,7.32
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,500,3,9.77,7.24
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,1000,1,5,5
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,1000,2,5,5
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,1000,3,5,5
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,1000,1,10.22,8.43
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,1000,2,9.51,9.35
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,1000,3,6.26,6.62
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0,1,84,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0,2,84,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0,3,84,84
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0,1,84,84
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0,2,84,84
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0,3,84,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0.01,1,84,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0.01,2,84,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0.01,3,84,84
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0.01,1,84,84
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0.01,2,84,84
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0.01,3,81.1,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0.1,1,84,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0.1,2,84,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0.1,3,82.01,84
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0.1,1,75.23,73.73
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0.1,2,84,84
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0.1,3,81.39,76.96
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,1,1,64.72,66.58
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,1,2,60.26,58.04
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,1,3,49.54,49.46
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,1,1,39.33,32.97
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,1,2,68.78,76.94
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,1,3,60.33,51.85
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,10,1,42.61,40.76
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,10,2,35.5,35.16
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,10,3,35.83,35.76
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,10,1,32.42,32.37
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,10,2,38.5,40.06
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,10,3,44.08,47.54
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,100,1,23.25,23.35
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,100,2,23.46,23.27
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,100,3,22.12,24.52
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,100,1,43.89,44.38
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,100,2,42.17,44.68
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,100,3,41.82,40.19
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,500,1,23.88,23.22
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,500,2,20.67,19.07
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,500,3,21.48,20.24
